date,hy,kpj,zgj,zdj,spj,zd,jqpjj,cjl,cjje,url
2014-05-23,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Au9995,260.40,260.45,259.85,260.00,0.02,0.0001,259.98,"3,770",https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Au9999,260.50,260.50,259.70,260.01,-0.09,-0.0003,260.06,"9,983.44",https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Au100g,260.10,260.70,260.03,260.10,0.04,0.0002,260.32,29,https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Au(T+D),260.50,260.58,259.62,259.90,0.38,0.0015,260.06,"23,372",https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,mAu(T+D),260.40,260.50,259.70,260.17,0.57,0.0022,260.15,"1,158.20",https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Pt9995,312.50,312.75,311.50,312.53,2.78,0.009,312.08,266,https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Ag99.99,4160,4165,4160,4163,8,0.0019,4163,"3,000",https://www.sge.com.cn/sjzx/mrhqsj/511076
2014-05-23,Ag(T+D),4126,4126,4104,4114,6,0.0015,4114,"718,418",https://www.sge.com.cn/sjzx/mrhqsj/511076
2011-09-23,Au100g,360.00,365.80,359.00,365.46,-3.54,-0.0096,362.06,320.4,https://www.sge.com.cn/sjzx/mrhqsj/510436
2011-09-23,Au9995,364.00,364.80,358.00,360.54,-7.68,-0.0209,360.8,"3,078",https://www.sge.com.cn/sjzx/mrhqsj/510436
2011-09-23,Au9999,368.00,368.00,358.00,360.00,-8,-0.0217,360.78,"8,164.60",https://www.sge.com.cn/sjzx/mrhqsj/510436
2011-09-23,Pt9995,365.00,365.00,358.00,361.33,-8.33,-0.0225,360.37,792,https://www.sge.com.cn/sjzx/mrhqsj/510436
2011-09-23,Au(T+D),359.00,364.50,358.00,361.30,-6.67,-0.0181,361.07,"45,864",https://www.sge.com.cn/sjzx/mrhqsj/510436
2010-11-19,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-11-19,Au9995,291.60,292.55,290.88,292.26,0.24,0.0008,292.12,"2,146",https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-11-19,Au9999,292.60,293.00,291.00,292.40,0.31,0.0011,292.21,"7,363",https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-11-19,Au100g,294.50,295.80,293.00,293.42,-0.57,-0.0019,293.93,157,https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-11-19,Au(T+D),292.49,292.65,290.59,291.90,0.16,0.0005,291.84,"14,834",https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-11-19,Pt9995,366.00,369.50,366.00,366.47,-0.53,-0.0014,366.86,130,https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-11-19,Ag(T+D),6100,6180,5955,6138,165,0.0276,6080,"1,500,334",https://www.sge.com.cn/sjzx/mrhqsj/510227
2010-04-14,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,https://www.sge.com.cn/sjzx/mrhqsj/510082
2010-04-14,Au100g,253.35,254.4,252,254.15,0.8,0.0032,253.79,71.8,https://www.sge.com.cn/sjzx/mrhqsj/510082
2010-04-14,Au9995,253.01,254.3,251,253.33,0.03,0.0001,253.88,"4,266",https://www.sge.com.cn/sjzx/mrhqsj/510082
2010-04-14,Au9999,254.5,254.5,251.81,253.65,0.26,0.001,253.87,"1,983.40",https://www.sge.com.cn/sjzx/mrhqsj/510082
2010-04-14,Pt9995,390,392.5,388,391.93,2.07,0.0053,391.86,194,https://www.sge.com.cn/sjzx/mrhqsj/510082
2010-04-14,Ag(T+D),4097,4105,4062,4084,-3,-0.0007,4086,"94,948",https://www.sge.com.cn/sjzx/mrhqsj/510082
2010-04-14,Au(T+D),253.81,254.29,251.8,253.6,0.41,0.0016,253.19,"17,092",https://www.sge.com.cn/sjzx/mrhqsj/510082
